date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:26	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:34:25%20GMT	https://web.archive.org/web/20170508073921/http://www.aim-consultants.com/about-us/award-recognition	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073921/http_/www.aim-consultants.com/about-us/award-recognition.4.delayed	(from )
13:34:30	24417/24417	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:29%20GMT	https://web.archive.org/web/20170508073843/http://www.aim-consultants.com:80/about-us	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073843/http_/www.aim-consultants.com_80/about-us.html	(from )
13:34:30	22046/22046	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:29%20GMT	https://web.archive.org/web/20170508073921/http://www.aim-consultants.com:80/about-us/our-history	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073921/http_/www.aim-consultants.com_80/about-us/our-history.html	(from )
13:34:30	40389/40389	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:29%20GMT	https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170513151831/http_/www.aim-consultants.com_80/index.html	(from )
13:34:32	22962/22962	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:30%20GMT	https://web.archive.org/web/20170503115404/http://www.aim-consultants.com:80/services/construction-supervision	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170503115404/http_/www.aim-consultants.com_80/services/construction-supervision.html	(from )
13:34:33	25747/25747	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:31%20GMT	https://web.archive.org/web/20170508074046/http://www.aim-consultants.com:80/about-us/our-clients	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508074046/http_/www.aim-consultants.com_80/about-us/our-clients.html	(from )
13:34:33	23039/23039	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:31%20GMT	https://web.archive.org/web/20170511095105/http://www.aim-consultants.com:80/about-us/from-the-md	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170511095105/http_/www.aim-consultants.com_80/about-us/from-the-md.html	(from )
13:34:33	25155/25155	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:31%20GMT	https://web.archive.org/web/20170418181951/http://www.aim-consultants.com:80/about-us/award-recognition	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170418181951/http_/www.aim-consultants.com_80/about-us/award-recognition.html	(from )
13:34:40	22675/22675	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:35%20GMT	https://web.archive.org/web/20170503115444/http://www.aim-consultants.com:80/services/design	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170503115444/http_/www.aim-consultants.com_80/services/design.html	(from )
13:34:42	22416/22416	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:42%20GMT	https://web.archive.org/web/20170419104735/http://www.aim-consultants.com:80/expertise/buildings	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170419104735/http_/www.aim-consultants.com_80/expertise/buildings.html	(from )
13:34:44	22205/22205	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:43%20GMT	https://web.archive.org/web/20170418182116/http://www.aim-consultants.com:80/expertise/infrastructure-design	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170418182116/http_/www.aim-consultants.com_80/expertise/infrastructure-design.html	(from )
13:34:48	21932/21932	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:34:46%20GMT	https://web.archive.org/web/20170418181956/http://www.aim-consultants.com:80/expertise/urban-development	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170418181956/http_/www.aim-consultants.com_80/expertise/urban-development.html	(from )
