date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:56	24410/24410	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:18:54%20GMT	https://web.archive.org/web/20170508073843/http://www.aim-consultants.com:80/about-us	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073843/http_/www.aim-consultants.com_80/about-us.html	(from )
13:18:57	40386/40386	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:18:55%20GMT	https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170513151831/http_/www.aim-consultants.com_80/index.html	(from )
13:19:00	23035/23035	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:18:58%20GMT	https://web.archive.org/web/20170511095105/http://www.aim-consultants.com:80/about-us/from-the-md	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170511095105/http_/www.aim-consultants.com_80/about-us/from-the-md.html	(from )
13:19:03	22043/22043	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:19:01%20GMT	https://web.archive.org/web/20170508073921/http://www.aim-consultants.com:80/about-us/our-history	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073921/http_/www.aim-consultants.com_80/about-us/our-history.html	(from )
13:19:04	25749/25749	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:19:03%20GMT	https://web.archive.org/web/20170508074046/http://www.aim-consultants.com:80/about-us/our-clients	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508074046/http_/www.aim-consultants.com_80/about-us/our-clients.html	(from )
13:19:05	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:05%20GMT	https://web.archive.org/web/20170508073921/http://www.aim-consultants.com/about-us/award-recognition	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073921/http_/www.aim-consultants.com/about-us/award-recognition	(from )
13:19:08	25161/25161	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:19:06%20GMT	https://web.archive.org/web/20170418181951/http://www.aim-consultants.com:80/about-us/award-recognition	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170418181951/http_/www.aim-consultants.com_80/about-us/award-recognition.html	(from )
13:19:10	60722/60722	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2012:19:09%20GMT	https://web.archive.org/web/20170420131958/http://www.aim-consultants.com:80/about-us/csr	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170420131958/http_/www.aim-consultants.com_80/about-us/csr.html	(from )
13:19:12	101/101	---M--	200	added ('OK')	text/plain	etag:%2258ef9afb-65%22	https://web.archive.org/robots.txt		(from )
13:19:14	7403/7403	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Jun%202018%2005:22:46%20GMT	http://archive.org/includes/analytics.js?v=cf34f82	/Users/seyi/websites/aim-consultant/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/)
13:19:16	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:16%20GMT	http://web.archive.org/web/20170513151831js_/http://ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min.js	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170513151831js_/http_/ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min.8.delayed	(from https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/)
13:19:17	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:16%20GMT	http://web.archive.org/web/20170513151936js_/https://ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min.js	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170513151936js_/https_/ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min.js	(from https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/)
13:19:24	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:21%20GMT	http://web.archive.org/web/20170513151831cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170513151831cs_/http_/fonts.googleapis.com/css.bb908.delayed	(from https://web.archive.org/web/20170513151831/http://www.aim-consultants.com:80/)
13:19:25	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:24%20GMT	http://web.archive.org/web/20170508073843cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073843cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170508073843/http://www.aim-consultants.com:80/about-us)
13:19:26	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:26%20GMT	http://web.archive.org/web/20170511095105cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170511095105cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170511095105/http://www.aim-consultants.com:80/about-us/from-the-md)
13:19:28	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:28%20GMT	http://web.archive.org/web/20170508073921cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508073921cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170508073921/http://www.aim-consultants.com:80/about-us/our-history)
13:19:29	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:29%20GMT	http://web.archive.org/web/20170508074046cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170508074046cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170508074046/http://www.aim-consultants.com:80/about-us/our-clients)
13:19:30	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:30%20GMT	http://web.archive.org/web/20170418181951cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170418181951cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170418181951/http://www.aim-consultants.com:80/about-us/award-recognition)
13:19:33	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2002%20Oct%202018%2012:19:32%20GMT	http://web.archive.org/web/20170420131958cs_/http://fonts.googleapis.com/css?family=Droid+Sans:400,700	/Users/seyi/websites/aim-consultant/web.archive.org/web/20170420131958cs_/http_/fonts.googleapis.com/cssb908	(from https://web.archive.org/web/20170420131958/http://www.aim-consultants.com:80/about-us/csr)
